method_id,method,metric,p05,median,p95,mean
no_verification,No verification,minor_purchases_prevented,0.0,0.0,0.0,0.0
no_verification,No verification,minor_substitution_events,0.0,0.0,0.0,0.0
no_verification,No verification,minor_consumption_prevented,0.0,0.0,0.0,0.0
no_verification,No verification,minor_purchases_permitted,3183.2299858062056,4159.158903682599,5331.722298741813,4195.322738087025
no_verification,No verification,adult_false_rejections,0.0,0.0,0.0,0.0
no_verification,No verification,adult_abandonments,0.0,0.0,0.0,0.0
no_verification,No verification,adult_adverse_outcomes,0.0,0.0,0.0,0.0
no_verification,No verification,higher_friction_adult_adverse_outcomes,0.0,0.0,0.0,0.0
no_verification,No verification,adult_adverse_outcomes_per_minor_purchase_prevented,,,,
no_verification,No verification,adult_adverse_outcomes_per_minor_consumption_prevented,,,,
no_verification,No verification,adult_checks_per_minor_purchase_prevented,,,,
no_verification,No verification,identity_proofing_events,0.0,0.0,0.0,0.0
no_verification,No verification,identity_records_created,0.0,0.0,0.0,0.0
no_verification,No verification,centralized_identity_records,0.0,0.0,0.0,0.0
no_verification,No verification,centralized_records_at_risk,0.0,0.0,0.0,0.0
no_verification,No verification,expected_routine_records_exposed,0.0,0.0,0.0,0.0
no_verification,No verification,expected_catastrophic_records_exposed,0.0,0.0,0.0,0.0
no_verification,No verification,expected_records_exposed,0.0,0.0,0.0,0.0
no_verification,No verification,transient_identity_images,0.0,0.0,0.0,0.0
no_verification,No verification,biometric_scans,0.0,0.0,0.0,0.0
no_verification,No verification,credential_assertions,0.0,0.0,0.0,0.0
no_verification,No verification,third_party_disclosures,0.0,0.0,0.0,0.0
no_verification,No verification,total_annual_cost,0.0,0.0,0.0,0.0
no_verification,No verification,cost_per_minor_purchase_prevented,,,,
no_verification,No verification,cost_per_minor_consumption_prevented,,,,
self_declaration,Self-declared age,minor_purchases_prevented,38.28586542676391,86.45804746639152,162.67011372838888,91.5784898138408
self_declaration,Self-declared age,minor_substitution_events,9.740201827119359,26.17723785822853,58.51196048823299,29.021205166332823
self_declaration,Self-declared age,minor_consumption_prevented,25.062016940912258,58.35993160685331,114.56948539138747,62.55728464750798
self_declaration,Self-declared age,minor_purchases_permitted,3111.641701870673,4066.9931501233077,5220.469403662659,4103.744248273183
self_declaration,Self-declared age,adult_false_rejections,9.500195350984567,33.153057759602675,71.96931182376676,36.12019923600796
self_declaration,Self-declared age,adult_abandonments,57.56457459724485,145.6550784780129,282.6556745357327,155.3546550174453
self_declaration,Self-declared age,adult_adverse_outcomes,87.34422516072684,181.82521527944527,324.3851892889191,191.47485425345332
self_declaration,Self-declared age,higher_friction_adult_adverse_outcomes,10.42381805728694,23.755264581122383,47.892184936965144,25.755809860990965
self_declaration,Self-declared age,adult_adverse_outcomes_per_minor_purchase_prevented,0.8349978683281717,2.1243286059068005,5.512986363496198,2.5032454022510993
self_declaration,Self-declared age,adult_adverse_outcomes_per_minor_consumption_prevented,1.2060665324433715,3.125012071460708,8.340650714894995,3.733718491669158
self_declaration,Self-declared age,adult_checks_per_minor_purchase_prevented,130.17205017398598,237.75962179438068,528.3386308332803,271.64769083430156
self_declaration,Self-declared age,identity_proofing_events,0.0,0.0,0.0,0.0
self_declaration,Self-declared age,identity_records_created,0.0,0.0,0.0,0.0
self_declaration,Self-declared age,centralized_identity_records,0.0,0.0,0.0,0.0
self_declaration,Self-declared age,centralized_records_at_risk,0.0,0.0,0.0,0.0
self_declaration,Self-declared age,expected_routine_records_exposed,0.0,0.0,0.0,0.0
self_declaration,Self-declared age,expected_catastrophic_records_exposed,0.0,0.0,0.0,0.0
self_declaration,Self-declared age,expected_records_exposed,0.0,0.0,0.0,0.0
self_declaration,Self-declared age,transient_identity_images,0.0,0.0,0.0,0.0
self_declaration,Self-declared age,biometric_scans,0.0,0.0,0.0,0.0
self_declaration,Self-declared age,credential_assertions,0.0,0.0,0.0,0.0
self_declaration,Self-declared age,third_party_disclosures,0.0,0.0,0.0,0.0
self_declaration,Self-declared age,total_annual_cost,1573.0359058148133,3686.8657875164913,6787.166561677044,3888.0998559957434
self_declaration,Self-declared age,cost_per_minor_purchase_prevented,14.99478956941753,42.68306355167728,118.11646615509085,51.5421690359862
self_declaration,Self-declared age,cost_per_minor_consumption_prevented,21.653306495467596,63.019284260282696,178.7914706308228,76.90476233742187
visual_estimation,Visual age estimation by staff,minor_purchases_prevented,781.4636067599346,1230.5561364360171,1875.4610716071577,1267.3369311735541
visual_estimation,Visual age estimation by staff,minor_substitution_events,179.9248796834929,377.5109454740618,698.6435365883825,400.2846277848442
visual_estimation,Visual age estimation by staff,minor_consumption_prevented,501.21505745162034,834.7481386457075,1344.0207060878574,867.05230338871
visual_estimation,Visual age estimation by staff,minor_purchases_permitted,2117.4916881253707,2894.098019443516,3855.2096054749627,2927.9858069134702
visual_estimation,Visual age estimation by staff,adult_false_rejections,754.2845043110615,1473.5288633077057,2434.926543855765,1519.78344176427
visual_estimation,Visual age estimation by staff,adult_abandonments,202.47067951757705,433.5123183487174,792.8992868496615,458.5200367172973
visual_estimation,Visual age estimation by staff,adult_adverse_outcomes,1140.8235983642903,1929.7215655855243,2975.3043253463925,1978.3034784815673
visual_estimation,Visual age estimation by staff,higher_friction_adult_adverse_outcomes,170.16297669799036,322.51136882846487,574.4304808441968,340.4434839204456
