method_id,method,output_metric,rank,input_source,input,parameter_key,spearman_correlation,absolute_correlation
self_declaration,Self-declared age,minor_purchases_prevented,1,method,minor_circumvention_rate,methods.self_declaration.minor_circumvention_rate,-0.6912179751318793,0.6912179751318793
self_declaration,Self-declared age,minor_purchases_prevented,2,method,minor_detection_rate,methods.self_declaration.minor_detection_rate,0.5765963712660945,0.5765963712660945
self_declaration,Self-declared age,minor_purchases_prevented,3,scenario,purchase_attempt_rate,scenario.purchase_attempt_rate,0.28555913467620764,0.28555913467620764
self_declaration,Self-declared age,minor_purchases_prevented,4,scenario,minor_share,scenario.minor_share,0.19942513979653806,0.19942513979653806
self_declaration,Self-declared age,minor_purchases_prevented,5,method,adult_abandonment_rate,methods.self_declaration.adult_abandonment_rate,0.005979514686135807,0.005979514686135807
self_declaration,Self-declared age,minor_purchases_prevented,6,method,centralized_record_fraction,methods.self_declaration.centralized_record_fraction,0.0057534229015653695,0.0057534229015653695
self_declaration,Self-declared age,minor_purchases_prevented,7,method,higher_friction_false_rejection_multiplier,methods.self_declaration.higher_friction_false_rejection_multiplier,-0.004608684524371473,0.004608684524371473
self_declaration,Self-declared age,minor_purchases_prevented,8,scenario,higher_friction_adult_share,scenario.higher_friction_adult_share,-0.004248293896771318,0.004248293896771318
self_declaration,Self-declared age,minor_purchases_prevented,9,method,annual_breach_probability,methods.self_declaration.annual_breach_probability,0.004222316819000927,0.004222316819000927
self_declaration,Self-declared age,minor_purchases_prevented,10,method,higher_friction_abandonment_multiplier,methods.self_declaration.higher_friction_abandonment_multiplier,0.0029369709630947885,0.0029369709630947885
self_declaration,Self-declared age,minor_purchases_prevented,11,method,verification_check_rate,methods.self_declaration.verification_check_rate,-0.0024056509541782603,0.0024056509541782603
self_declaration,Self-declared age,minor_purchases_prevented,12,method,adult_false_rejection_rate,methods.self_declaration.adult_false_rejection_rate,-0.002245884994018354,0.002245884994018354
self_declaration,Self-declared age,minor_purchases_prevented,13,method,fixed_annual_cost,methods.self_declaration.fixed_annual_cost,0.001598334761343334,0.001598334761343334
self_declaration,Self-declared age,minor_purchases_prevented,14,method,minor_substitution_rate,methods.self_declaration.minor_substitution_rate,0.0015769251402787702,0.0015769251402787702
self_declaration,Self-declared age,minor_purchases_prevented,15,method,variable_cost_per_check,methods.self_declaration.variable_cost_per_check,0.0012192079532236833,0.0012192079532236833
self_declaration,Self-declared age,minor_purchases_prevented,16,method,record_retention_years,methods.self_declaration.record_retention_years,0.0003983409013113364,0.0003983409013113364
self_declaration,Self-declared age,minor_consumption_prevented,1,method,minor_circumvention_rate,methods.self_declaration.minor_circumvention_rate,-0.6575232172711374,0.6575232172711374
self_declaration,Self-declared age,minor_consumption_prevented,2,method,minor_detection_rate,methods.self_declaration.minor_detection_rate,0.5497509046068124,0.5497509046068124
self_declaration,Self-declared age,minor_consumption_prevented,3,method,minor_substitution_rate,methods.self_declaration.minor_substitution_rate,-0.2901912918266045,0.2901912918266045
self_declaration,Self-declared age,minor_consumption_prevented,4,scenario,purchase_attempt_rate,scenario.purchase_attempt_rate,0.2707822108974009,0.2707822108974009
self_declaration,Self-declared age,minor_consumption_prevented,5,scenario,minor_share,scenario.minor_share,0.189379972488008,0.189379972488008
self_declaration,Self-declared age,minor_consumption_prevented,6,method,adult_abandonment_rate,methods.self_declaration.adult_abandonment_rate,0.007061191927912477,0.007061191927912477
self_declaration,Self-declared age,minor_consumption_prevented,7,method,centralized_record_fraction,methods.self_declaration.centralized_record_fraction,0.006127545691251019,0.006127545691251019
self_declaration,Self-declared age,minor_consumption_prevented,8,scenario,higher_friction_adult_share,scenario.higher_friction_adult_share,-0.00530984851469994,0.00530984851469994
